X.step.,meanI,SdI,meanS,SdS,meanE,SdE,meanR,SdR
90,0.0202,0.006288960200872897,0.6894,0.02109357190023072,0.00888,0.004918270809451432,0.28152,0.021678767944508206
91,0.0202,0.006288960200872897,0.6894,0.02109357190023072,0.00888,0.004918270809451432,0.28152,0.021678767944508206
92,0.02012,0.006885773562281903,0.6839999999999999,0.021533078493047714,0.00976,0.005008401105408098,0.28612,0.021132854776873097
93,0.02012,0.006885773562281903,0.6839999999999999,0.021533078493047714,0.00976,0.005008401105408098,0.28612,0.021132854776873097
94,0.01876,0.006625738310804714,0.67928,0.021222860220016678,0.01012,0.005085553769537506,0.29184,0.021292290451077854
95,0.01876,0.006625738310804714,0.67928,0.021222860220016678,0.01012,0.005085553769537506,0.29184,0.021292290451077854
96,0.01944,0.007908042922059974,0.67496,0.0218575723580583,0.00904,0.004449076950816395,0.29656,0.02136959503211829
97,0.01944,0.007908042922059974,0.67496,0.0218575723580583,0.00904,0.004449076950816395,0.29656,0.02136959503211829
98,0.019,0.00795138288575757,0.66984,0.021724959782494876,0.00944,0.004199902817145819,0.30172,0.021323590462304455
99,0.019,0.00795138288575757,0.66984,0.021724959782494876,0.00944,0.004199902817145819,0.30172,0.021323590462304455
100,0.0188,0.007494215456345143,0.66504,0.022639102888406076,0.00992,0.004848058732048092,0.30624,0.021410049137767825
101,0.0188,0.007494215456345143,0.66504,0.022639102888406076,0.00992,0.004848058732048092,0.30624,0.021410049137767825
102,0.01956,0.007129015159393136,0.6593600000000001,0.02199606643869559,0.01048,0.005429473609243293,0.3106,0.02109357190023075
103,0.01956,0.007129015159393136,0.6593600000000001,0.02199606643869559,0.01048,0.005429473609243293,0.3106,0.02109357190023075
104,0.01896,0.006739950947559648,0.6544,0.023084582716256186,0.01064,0.005086035302870087,0.316,0.02153307849304775
105,0.01896,0.006739950947559648,0.6544,0.023084582716256186,0.01064,0.005086035302870087,0.316,0.02153307849304775
106,0.01992,0.006927731907901395,0.64988,0.02335322378654584,0.00948,0.0056541117420720235,0.32072,0.021222860220016706
107,0.01992,0.006927731907901395,0.64988,0.02335322378654584,0.00948,0.0056541117420720235,0.32072,0.021222860220016706
108,0.02056,0.008320518037247636,0.64456,0.02375397711061096,0.00984,0.00472665045140805,0.32504,0.02185757235805832
109,0.02056,0.008320518037247636,0.64456,0.02375397711061096,0.00984,0.00472665045140805,0.32504,0.02185757235805832
110,0.01996,0.008866262586056087,0.63988,0.023468293852057752,0.01,0.004199125273342591,0.33016,0.02172495978249489
111,0.01996,0.008866262586056087,0.63988,0.023468293852057752,0.01,0.004199125273342591,0.33016,0.02172495978249489
112,0.02048,0.007746598990419432,0.6348,0.02379847362623865,0.00976,0.004892977057967462,0.33496,0.022639102888406083
113,0.02048,0.007746598990419432,0.6348,0.02379847362623865,0.00976,0.004892977057967462,0.33496,0.022639102888406083
114,0.01948,0.0069494971187908,0.63036,0.024009147916439485,0.00952,0.005055770596707352,0.34064,0.02199606643869558
115,0.01948,0.0069494971187908,0.63036,0.024009147916439485,0.00952,0.005055770596707352,0.34064,0.02199606643869558
116,0.0196,0.006350317363112248,0.62576,0.025335753554281082,0.00904,0.004261646706739218,0.3456,0.023084582716256175
117,0.0196,0.006350317363112248,0.62576,0.025335753554281082,0.00904,0.004261646706739218,0.3456,0.023084582716256175
118,0.01952,0.006148635156334638,0.62088,0.0255300063550677,0.00948,0.00543323108288245,0.35012,0.02335322378654582
119,0.01952,0.006148635156334638,0.62088,0.0255300063550677,0.00948,0.00543323108288245,0.35012,0.02335322378654582
120,0.0188,0.006452337023220694,0.61692,0.0255653145124884,0.00884,0.005015730357625713,0.35544,0.02375397711061094
121,0.0188,0.006452337023220694,0.61692,0.0255653145124884,0.00884,0.005015730357625713,0.35544,0.02375397711061094
122,0.019,0.007365113574085852,0.613,0.025699201925192885,0.00788,0.00402867274442001,0.36012,0.02346829385205773
123,0.019,0.007365113574085852,0.613,0.025699201925192885,0.00788,0.00402867274442001,0.36012,0.02346829385205773
124,0.01788,0.007049793744269026,0.60876,0.0254683156498583,0.00816,0.003851106387541542,0.3652,0.023798473626238627
125,0.01788,0.007049793744269026,0.60876,0.0254683156498583,0.00816,0.003851106387541542,0.3652,0.023798473626238627
126,0.01736,0.007433405020855626,0.60416,0.025300931659864693,0.00884,0.0043722688268080625,0.36964,0.024009147916439467
