"BehaviorSpace results (NetLogo 6.2.2)"
"../repro-seir-master/model/m2-seir.nlogo"
"experiment"
"04/14/2023 16:45:27:554 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pop-init","te-g","ti-g","infectionRadius-i","beta","tr-g","prop-infecte","[step]","propSuseptible","propExposed","propInfected","propRecovered"
"13","20000","3","7","1","0.5","365","0.1","4","0.99795","0.00205","0","0"
"20","20000","3","7","1","0.5","365","0.1","5","0.9979","0.0019","2.0E-4","0"
"20","20000","3","7","1","0.5","365","0.1","6","0.997","0.002","0.001","0"
"25","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"25","20000","3","7","1","0.5","365","0.1","4","0.998","0.002","0","0"
"30","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"30","20000","3","7","1","0.5","365","0.1","4","0.99795","0.00205","0","0"
"18","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"18","20000","3","7","1","0.5","365","0.1","4","0.9982","0.0018","0","0"
"24","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"24","20000","3","7","1","0.5","365","0.1","4","0.9978","0.0022","0","0"
"15","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"15","20000","3","7","1","0.5","365","0.1","4","0.99795","0.00205","0","0"
"17","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"17","20000","3","7","1","0.5","365","0.1","4","0.9977","0.0023","0","0"
"19","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"9","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"19","20000","3","7","1","0.5","365","0.1","4","0.99805","0.00195","0","0"
"9","20000","3","7","1","0.5","365","0.1","4","0.9981","0.0019","0","0"
"14","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"14","20000","3","7","1","0.5","365","0.1","4","0.9977","0.0023","0","0"
"21","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"21","20000","3","7","1","0.5","365","0.1","4","0.99765","0.00235","0","0"
"11","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"16","20000","3","7","1","0.5","365","0.1","5","0.998","0.0017","3.0E-4","0"
"11","20000","3","7","1","0.5","365","0.1","4","0.9979","0.0021","0","0"
"16","20000","3","7","1","0.5","365","0.1","6","0.99685","0.0026","5.5E-4","0"
"7","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"7","20000","3","7","1","0.5","365","0.1","4","0.9979","0.0021","0","0"
"23","20000","3","7","1","0.5","365","0.1","7","0.99675","0.00175","0.00145","5.0E-5"
"23","20000","3","7","1","0.5","365","0.1","8","0.99565","0.0024","0.0018","1.5E-4"
"30","20000","3","7","1","0.5","365","0.1","5","0.99795","0.00165","4.0E-4","0"
"30","20000","3","7","1","0.5","365","0.1","6","0.9967","0.00235","9.5E-4","0"
"22","20000","3","7","1","0.5","365","0.1","7","0.99615","0.00225","0.0015","1.0E-4"
"22","20000","3","7","1","0.5","365","0.1","8","0.9943","0.00345","0.0021","1.5E-4"
"20","20000","3","7","1","0.5","365","0.1","7","0.997","0.0015","0.00135","1.5E-4"
"20","20000","3","7","1","0.5","365","0.1","8","0.99495","0.00315","0.00165","2.5E-4"
"27","20000","3","7","1","0.5","365","0.1","5","0.998","0.00175","2.5E-4","0"
"27","20000","3","7","1","0.5","365","0.1","6","0.99695","0.0023","7.5E-4","0"
"25","20000","3","7","1","0.5","365","0.1","5","0.998","0.00175","2.5E-4","0"
"25","20000","3","7","1","0.5","365","0.1","6","0.9964","0.0027","9.0E-4","0"
"16","20000","3","7","1","0.5","365","0.1","7","0.99685","0.00185","0.0012","1.0E-4"
"16","20000","3","7","1","0.5","365","0.1","8","0.9951","0.003","0.0017","2.0E-4"
"28","20000","3","7","1","0.5","365","0.1","7","0.99695","0.00205","0.001","0"
"28","20000","3","7","1","0.5","365","0.1","8","0.9949","0.00335","0.00165","1.0E-4"
"29","20000","3","7","1","0.5","365","0.1","5","0.9982","0.0015","3.0E-4","0"
"29","20000","3","7","1","0.5","365","0.1","6","0.9969","0.00245","6.5E-4","0"
"26","20000","3","7","1","0.5","365","0.1","5","0.99805","0.00165","3.0E-4","0"
"26","20000","3","7","1","0.5","365","0.1","6","0.99665","0.0027","6.5E-4","0"
"23","20000","3","7","1","0.5","365","0.1","9","0.99565","0.00185","0.00215","3.5E-4"
"23","20000","3","7","1","0.5","365","0.1","10","0.99325","0.0039","0.0023","5.5E-4"
"12","20000","3","7","1","0.5","365","0.1","5","0.99815","0.0014","4.5E-4","0"
"12","20000","3","7","1","0.5","365","0.1","6","0.9969","0.0022","8.0E-4","1.0E-4"
"3","20000","3","7","1","0.5","365","0.1","5","0.99815","0.0016","2.5E-4","0"
"3","20000","3","7","1","0.5","365","0.1","6","0.9973","0.00195","7.0E-4","5.0E-5"
"4","20000","3","7","1","0.5","365","0.1","5","0.9978","0.0019","3.0E-4","0"
"4","20000","3","7","1","0.5","365","0.1","6","0.9968","0.0024","7.5E-4","5.0E-5"
"1","20000","3","7","1","0.5","365","0.1","5","0.9981","0.0016","3.0E-4","0"
"1","20000","3","7","1","0.5","365","0.1","6","0.99695","0.00235","7.0E-4","0"
"2","20000","3","7","1","0.5","365","0.1","5","0.998","0.0016","4.0E-4","0"
"2","20000","3","7","1","0.5","365","0.1","6","0.99685","0.0023","8.5E-4","0"
"6","20000","3","7","1","0.5","365","0.1","5","0.99785","0.00195","2.0E-4","0"
"6","20000","3","7","1","0.5","365","0.1","6","0.9968","0.0021","0.00105","5.0E-5"
"30","20000","3","7","1","0.5","365","0.1","7","0.9967","0.0021","0.0011","1.0E-4"
"30","20000","3","7","1","0.5","365","0.1","8","0.9952","0.0031","0.0013","4.0E-4"
"13","20000","3","7","1","0.5","365","0.1","5","0.99795","0.00165","4.0E-4","0"
"5","20000","3","7","1","0.5","365","0.1","5","0.99735","0.00205","6.0E-4","0"
"13","20000","3","7","1","0.5","365","0.1","6","0.99665","0.00255","8.0E-4","0"
"5","20000","3","7","1","0.5","365","0.1","6","0.99595","0.00265","0.00135","5.0E-5"
"8","20000","3","7","1","0.5","365","0.1","5","0.99805","0.00155","4.0E-4","0"
"8","20000","3","7","1","0.5","365","0.1","6","0.9967","0.00245","8.5E-4","0"
"25","20000","3","7","1","0.5","365","0.1","7","0.9964","0.002","0.00145","1.5E-4"
"25","20000","3","7","1","0.5","365","0.1","8","0.9947","0.00335","0.00165","3.0E-4"
"10","20000","3","7","1","0.5","365","0.1","5","0.99765","0.002","3.5E-4","0"
"10","20000","3","7","1","0.5","365","0.1","6","0.9963","0.0029","8.0E-4","0"
"23","20000","3","7","1","0.5","365","0.1","11","0.99325","0.0033","0.00265","8.0E-4"
"23","20000","3","7","1","0.5","365","0.1","12","0.99015","0.0053","0.00355","0.001"
"16","20000","3","7","1","0.5","365","0.1","9","0.9951","0.00245","0.0021","3.5E-4"
"16","20000","3","7","1","0.5","365","0.1","10","0.99255","0.00425","0.0027","5.0E-4"
"20","20000","3","7","1","0.5","365","0.1","9","0.99495","0.00245","0.00215","4.5E-4"
"20","20000","3","7","1","0.5","365","0.1","10","0.99255","0.00425","0.0025","7.0E-4"
"28","20000","3","7","1","0.5","365","0.1","9","0.9949","0.00295","0.0019","2.5E-4"
"28","20000","3","7","1","0.5","365","0.1","10","0.9926","0.00425","0.0027","4.5E-4"
"22","20000","3","7","1","0.5","365","0.1","9","0.9943","0.0026","0.00265","4.5E-4"
"22","20000","3","7","1","0.5","365","0.1","10","0.99215","0.0042","0.00295","7.0E-4"
"24","20000","3","7","1","0.5","365","0.1","5","0.9978","0.00185","3.5E-4","0"
"24","20000","3","7","1","0.5","365","0.1","6","0.997","0.00215","8.5E-4","0"
"18","20000","3","7","1","0.5","365","0.1","5","0.9982","0.00155","2.5E-4","0"
"18","20000","3","7","1","0.5","365","0.1","6","0.9973","0.00205","6.5E-4","0"
"30","20000","3","7","1","0.5","365","0.1","9","0.9952","0.0024","0.0017","7.0E-4"
"30","20000","3","7","1","0.5","365","0.1","10","0.9935","0.00345","0.0021","9.5E-4"
"15","20000","3","7","1","0.5","365","0.1","5","0.99795","0.0017","3.5E-4","0"
"15","20000","3","7","1","0.5","365","0.1","6","0.99715","0.0019","8.5E-4","1.0E-4"
"17","20000","3","7","1","0.5","365","0.1","5","0.9977","0.00175","5.5E-4","0"
"17","20000","3","7","1","0.5","365","0.1","6","0.9966","0.00235","0.001","5.0E-5"
"27","20000","3","7","1","0.5","365","0.1","7","0.99695","0.00185","0.00115","5.0E-5"
"27","20000","3","7","1","0.5","365","0.1","8","0.995","0.00315","0.0018","5.0E-5"
"14","20000","3","7","1","0.5","365","0.1","5","0.9977","0.00195","3.5E-4","0"
"14","20000","3","7","1","0.5","365","0.1","6","0.99615","0.00305","8.0E-4","0"
"9","20000","3","7","1","0.5","365","0.1","5","0.9981","0.00155","3.5E-4","0"
"9","20000","3","7","1","0.5","365","0.1","6","0.997","0.00215","8.5E-4","0"
"19","20000","3","7","1","0.5","365","0.1","5","0.99805","0.00175","2.0E-4","0"
"19","20000","3","7","1","0.5","365","0.1","6","0.99705","0.0019","0.00105","0"
"21","20000","3","7","1","0.5","365","0.1","5","0.99765","0.0019","4.5E-4","0"
"21","20000","3","7","1","0.5","365","0.1","6","0.99625","0.00275","0.001","0"
"29","20000","3","7","1","0.5","365","0.1","7","0.9969","0.002","9.5E-4","1.5E-4"
"29","20000","3","7","1","0.5","365","0.1","8","0.99545","0.00295","0.0014","2.0E-4"
"7","20000","3","7","1","0.5","365","0.1","5","0.9979","0.0017","4.0E-4","0"
"7","20000","3","7","1","0.5","365","0.1","6","0.99685","0.00235","8.0E-4","0"
"23","20000","3","7","1","0.5","365","0.1","13","0.99015","0.00435","0.0041","0.0014"
"11","20000","3","7","1","0.5","365","0.1","5","0.9979","0.0018","3.0E-4","0"
"23","20000","3","7","1","0.5","365","0.1","14","0.98625","0.00695","0.005","0.0018"
"11","20000","3","7","1","0.5","365","0.1","6","0.9969","0.0022","9.0E-4","0"
"28","20000","3","7","1","0.5","365","0.1","11","0.9926","0.00325","0.00335","8.0E-4"
"28","20000","3","7","1","0.5","365","0.1","12","0.9901","0.00525","0.0037","9.5E-4"
"26","20000","3","7","1","0.5","365","0.1","7","0.99665","0.00205","0.00125","5.0E-5"
"26","20000","3","7","1","0.5","365","0.1","8","0.9949","0.0032","0.00175","1.5E-4"
"20","20000","3","7","1","0.5","365","0.1","11","0.99255","0.0034","0.00305","0.001"
"20","20000","3","7","1","0.5","365","0.1","12","0.98925","0.0057","0.00375","0.0013"
"12","20000","3","7","1","0.5","365","0.1","7","0.9969","0.0018","0.0011","2.0E-4"
"12","20000","3","7","1","0.5","365","0.1","8","0.99545","0.00275","0.00135","4.5E-4"
"3","20000","3","7","1","0.5","365","0.1","7","0.9973","0.0016","0.001","1.0E-4"
"3","20000","3","7","1","0.5","365","0.1","8","0.9954","0.00275","0.0016","2.5E-4"
"1","20000","3","7","1","0.5","365","0.1","7","0.99695","0.00155","0.0015","0"
"1","20000","3","7","1","0.5","365","0.1","8","0.9951","0.00285","0.00195","1.0E-4"
"4","20000","3","7","1","0.5","365","0.1","7","0.9968","0.002","0.00115","5.0E-5"
"4","20000","3","7","1","0.5","365","0.1","8","0.99525","0.00275","0.00175","2.5E-4"
"6","20000","3","7","1","0.5","365","0.1","7","0.9968","0.0017","0.00145","5.0E-5"
"6","20000","3","7","1","0.5","365","0.1","8","0.99515","0.00295","0.0017","2.0E-4"
"2","20000","3","7","1","0.5","365","0.1","7","0.99685","0.0016","0.00145","1.0E-4"
"2","20000","3","7","1","0.5","365","0.1","8","0.99575","0.0024","0.0015","3.5E-4"
"5","20000","3","7","1","0.5","365","0.1","7","0.99595","0.00205","0.0019","1.0E-4"
"5","20000","3","7","1","0.5","365","0.1","8","0.99415","0.00335","0.00225","2.5E-4"
"13","20000","3","7","1","0.5","365","0.1","7","0.99665","0.00215","0.00115","5.0E-5"
"13","20000","3","7","1","0.5","365","0.1","8","0.99455","0.00355","0.00165","2.5E-4"
"8","20000","3","7","1","0.5","365","0.1","7","0.9967","0.00185","0.0013","1.5E-4"
"8","20000","3","7","1","0.5","365","0.1","8","0.99525","0.0029","0.00155","3.0E-4"
"18","20000","3","7","1","0.5","365","0.1","7","0.9973","0.00165","0.00105","0"
"18","20000","3","7","1","0.5","365","0.1","8","0.99575","0.0026","0.00155","1.0E-4"
"23","20000","3","7","1","0.5","365","0.1","15","0.98625","0.00565","0.0057","0.0024"
"23","20000","3","7","1","0.5","365","0.1","16","0.9795","0.01085","0.00655","0.0031"
"16","20000","3","7","1","0.5","365","0.1","11","0.99255","0.00355","0.00315","7.5E-4"
"16","20000","3","7","1","0.5","365","0.1","12","0.9896","0.00545","0.00365","0.0013"
"28","20000","3","7","1","0.5","365","0.1","13","0.9901","0.00385","0.00455","0.0015"
"28","20000","3","7","1","0.5","365","0.1","14","0.9851","0.0077","0.0053","0.0019"
"25","20000","3","7","1","0.5","365","0.1","9","0.9947","0.0025","0.0024","4.0E-4"
"25","20000","3","7","1","0.5","365","0.1","10","0.99235","0.0043","0.0027","6.5E-4"
"16","20000","3","7","1","0.5","365","0.1","13","0.9896","0.00435","0.00415","0.0019"
